Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]
4090	-40.98435	-43.38003	2.395677	0.0977251	0.111423
4100	-40.16158	-42.00526	1.843681	0.0912073	0.159541
4110	-41.63138	-41.9044	0.2730162	0.201096	0.168023
4120	-40.39668	-41.76614	1.369461	0.110383	0.176104
4130	-39.93654	-42.22107	2.284529	0.061344	0.15618
4140	-41.56882	-45.04164	3.472819	0.0429545	0.0850162
4150	-41.90713	-41.50165	-0.405476	0.171778	0.248475
4160	-40.41931	-42.15196	1.732655	0.109048	0.150068
4170	-41.44494	-43.55406	2.109119	0.122962	0.107782
4180	-41.98705	-43.83892	1.85187	0.154144	0.0959877
4190	-41.18069	-41.53039	0.349698	0.159515	0.203825
4200	-42.61364	-42.38758	-0.2260654	0.11265	0.294082
4210	-40.03118	-42.9833	2.952123	0.0322735	0.134939
4220	-41.86154	-43.33404	1.472502	0.174197	0.104524
4230	-40.71655	-43.21025	2.493703	0.0867506	0.11501
4240	-42.75813	-42.5079	-0.2502344	0.270142	0.138411
4250	-40.09419	-42.67032	2.576123	0.0318791	0.16367
4260	-42.1403	-41.4545	-0.6857952	0.202304	0.239075
4270	-41.31241	-42.30737	0.9949589	0.170293	0.144418
4280	-40.47268	-43.82833	3.355642	0.0255018	0.1113
4290	-41.84413	-41.76297	-0.08115836	0.133687	0.262124
4300	-41.19989	-44.21387	3.013976	0.0668725	0.0956782
4310	-40.25607	-41.77967	1.523599	0.0927153	0.182156
4320	-40.76714	-43.04182	2.274682	0.0988803	0.119386
4330	-41.62705	-41.89666	0.2696094	0.200799	0.168577
4340	-40.16322	-42.34306	2.179843	0.0832149	0.142199
4350	-44.77371	-41.88323	-2.890471	0.323068	0.284463
4360	-40.43981	-42.10114	1.661326	0.0615617	0.20293
4370	-40.1008	-42.32832	2.227521	0.0451631	0.176658
4380	-42.57893	-45.00782	2.42889	0.126957	0.0796874
4390	-43.80905	-46.54458	2.735534	0.147173	0.0363616
4400	-41.23414	-41.52124	0.2870937	0.162371	0.205687
4410	-41.54307	-41.82598	0.2829076	0.194834	0.17354
4420	-40.0602	-41.9701	1.909907	0.0788142	0.166943
4430	-45.87828	-43.21365	-2.664632	0.391649	0.198862
4440	-41.82803	-42.87433	1.046293	0.0557549	0.255088
4450	-40.09947	-42.33693	2.23746	0.0779324	0.143139
4460	-41.42035	-42.424	1.003644	0.175158	0.138898
4470	-41.69676	-41.51159	-0.1851715	0.19343	0.21022
4480	-41.47913	-41.89246	0.4133282	0.190358	0.168187
4490	-40.47488	-41.78997	1.315081	0.117656	0.172929
